"X1" "X2" "V3"
"1" "ENSMUSG00000001016" "ENSMUSG00000001280" "0.261039968159939"
"2" "ENSMUSG00000001016" "ENSMUSG00000101939" "0.261039968159939"
"3" "ENSMUSG00000027879" "ENSMUSG00000001403" "0.261039968159939"
"4" "ENSMUSG00000027879" "ENSMUSG00000040123" "0.227920063680122"
"5" "ENSMUSG00000071237" "ENSMUSG00000062963" "0.220644805423246"
"6" "ENSMUSG00000071237" "ENSMUSG00000001504" "0.141778557970856"
"7" "ENSMUSG00000071237" "ENSMUSG00000074899" "0.0812517144145996"
"8" "ENSMUSG00000071237" "ENSMUSG00000085563" "0.0708379132245333"
"9" "ENSMUSG00000006906" "ENSMUSG00000001552" "0.167128960307253"
"10" "ENSMUSG00000006906" "ENSMUSG00000112639" "0.0791874074205123"
"11" "ENSMUSG00000006906" "ENSMUSG00000109131" "0.0818725922598315"
"12" "ENSMUSG00000006906" "ENSMUSG00000020536" "0.0643919869010113"
"13" "ENSMUSG00000006906" "ENSMUSG00000054715" "0.0965634955514272"
"14" "ENSMUSG00000113322" "ENSMUSG00000002345" "0.247430390244155"
"15" "ENSMUSG00000113322" "ENSMUSG00000030806" "0.127183395769096"
"16" "ENSMUSG00000113322" "ENSMUSG00000032769" "0.111677183338151"
"17" "ENSMUSG00000038058" "ENSMUSG00000003032" "0.261039968159939"
"18" "ENSMUSG00000038058" "ENSMUSG00000001855" "0.261039968159939"
"19" "ENSMUSG00000105636" "ENSMUSG00000003233" "0.261039968159939"
"20" "ENSMUSG00000105636" "ENSMUSG00000112442" "0.227920063680122"
"21" "ENSMUSG00000051242" "ENSMUSG00000004270" "0.261039968159939"
"22" "ENSMUSG00000051242" "ENSMUSG00000040808" "0.227920063680122"
"23" "ENSMUSG00000106758" "ENSMUSG00000004952" "0.261039968159939"
"24" "ENSMUSG00000106758" "ENSMUSG00000026027" "0.261039968159939"
"25" "ENSMUSG00000062585" "ENSMUSG00000005674" "0.261039968159939"
"26" "ENSMUSG00000062585" "ENSMUSG00000014243" "0.261039968159939"
"27" "ENSMUSG00000107506" "ENSMUSG00000006587" "0.261360192813059"
"28" "ENSMUSG00000107506" "ENSMUSG00000053477" "0.260510362429045"
"29" "ENSMUSG00000047412" "ENSMUSG00000008348" "0.261039968159939"
"30" "ENSMUSG00000047412" "ENSMUSG00000022051" "0.227920063680122"
"31" "ENSMUSG00000024561" "ENSMUSG00000083099" "0.232849314926553"
"32" "ENSMUSG00000024561" "ENSMUSG00000013465" "0.258575342536724"
"33" "ENSMUSG00000024561" "ENSMUSG00000083099" "0.232849314926553"
"34" "ENSMUSG00000083099" "ENSMUSG00000013465" "0.258575342536724"
"35" "ENSMUSG00000066771" "ENSMUSG00000013822" "0.146556453331019"
"36" "ENSMUSG00000066771" "ENSMUSG00000100279" "0.24842787551814"
"37" "ENSMUSG00000066771" "ENSMUSG00000033948" "0.123635373674396"
"38" "ENSMUSG00000115955" "ENSMUSG00000015217" "0.258575342536724"
"39" "ENSMUSG00000115955" "ENSMUSG00000033961" "0.232849314926553"
"40" "ENSMUSG00000031834" "ENSMUSG00000015880" "0.261039968159939"
"41" "ENSMUSG00000031834" "ENSMUSG00000060098" "0.261039968159939"
"42" "ENSMUSG00000066440" "ENSMUSG00000015968" "0.151944428679149"
"43" "ENSMUSG00000066440" "ENSMUSG00000113974" "0.0700246983219814"
"44" "ENSMUSG00000066440" "ENSMUSG00000029145" "0.0321857242919047"
"45" "ENSMUSG00000066440" "ENSMUSG00000083261" "0.0370686815196802"
"46" "ENSMUSG00000066440" "ENSMUSG00000107017" "0.226149179040032"
"47" "ENSMUSG00000094912" "ENSMUSG00000016382" "0.261039968159939"
"48" "ENSMUSG00000094912" "ENSMUSG00000001687" "0.227920063680122"
"49" "ENSMUSG00000090098" "ENSMUSG00000017801" "0.261039968159939"
"50" "ENSMUSG00000090098" "ENSMUSG00000038351" "0.227920063680122"
"51" "ENSMUSG00000106321" "ENSMUSG00000018012" "0.152535142721794"
"52" "ENSMUSG00000106321" "ENSMUSG00000061549" "0.23858191396716"
"53" "ENSMUSG00000106321" "ENSMUSG00000030880" "0.128022203585112"
"54" "ENSMUSG00000038122" "ENSMUSG00000018669" "0.261039968159939"
"55" "ENSMUSG00000038122" "ENSMUSG00000044927" "0.261039968159939"
"56" "ENSMUSG00000039218" "ENSMUSG00000019960" "0.261039968159939"
"57" "ENSMUSG00000039218" "ENSMUSG00000082925" "0.227920063680122"
"58" "ENSMUSG00000065236" "ENSMUSG00000020248" "0.261039968159939"
"59" "ENSMUSG00000065236" "ENSMUSG00000063317" "0.227920063680122"
"60" "ENSMUSG00000044292" "ENSMUSG00000020263" "0.258575342536724"
"61" "ENSMUSG00000044292" "ENSMUSG00000108922" "0.232849314926553"
"62" "ENSMUSG00000104138" "ENSMUSG00000020474" "0.261039968159939"
"63" "ENSMUSG00000104138" "ENSMUSG00000026839" "0.261039968159939"
"64" "ENSMUSG00000099137" "ENSMUSG00000020544" "0.26080920710305"
"65" "ENSMUSG00000099137" "ENSMUSG00000108539" "0.261061635636405"
"66" "ENSMUSG00000083275" "ENSMUSG00000020770" "0.261039968159939"
"67" "ENSMUSG00000083275" "ENSMUSG00000107432" "0.227920063680122"
"68" "ENSMUSG00000081362" "ENSMUSG00000020774" "0.231305252715039"
"69" "ENSMUSG00000081362" "ENSMUSG00000063320" "0.119295343664057"
"70" "ENSMUSG00000081362" "ENSMUSG00000114540" "0.0669855246817114"
"71" "ENSMUSG00000081362" "ENSMUSG00000025747" "0.0596843906305846"
"72" "ENSMUSG00000105771" "ENSMUSG00000020777" "0.261039968159939"
"73" "ENSMUSG00000105771" "ENSMUSG00000005892" "0.227920063680122"
"74" "ENSMUSG00000113409" "ENSMUSG00000020878" "0.261039968159939"
"75" "ENSMUSG00000113409" "ENSMUSG00000032609" "0.227920063680122"
"76" "ENSMUSG00000029580" "ENSMUSG00000021069" "0.225925650012324"
"77" "ENSMUSG00000029580" "ENSMUSG00000098192" "0.13604814551817"
"78" "ENSMUSG00000029580" "ENSMUSG00000095655" "0.119727236779756"
"79" "ENSMUSG00000016921" "ENSMUSG00000021298" "0.261039968159939"
"80" "ENSMUSG00000016921" "ENSMUSG00000023868" "0.227920063680122"
"81" "ENSMUSG00000107451" "ENSMUSG00000021639" "0.261039968159939"
"82" "ENSMUSG00000107451" "ENSMUSG00000111575" "0.261039968159939"
"83" "ENSMUSG00000027291" "ENSMUSG00000021907" "0.159874332309724"
"84" "ENSMUSG00000027291" "ENSMUSG00000096140" "0.137655434775836"
"85" "ENSMUSG00000027291" "ENSMUSG00000110269" "0.225925650012324"
"86" "ENSMUSG00000041301" "ENSMUSG00000022241" "0.261039968159939"
"87" "ENSMUSG00000041301" "ENSMUSG00000020257" "0.227920063680122"
"88" "ENSMUSG00000099612" "ENSMUSG00000022312" "0.205090804776627"
"89" "ENSMUSG00000099612" "ENSMUSG00000000159" "0.105926867235939"
"90" "ENSMUSG00000099612" "ENSMUSG00000008658" "0.0859771375284228"
"91" "ENSMUSG00000099612" "ENSMUSG00000038773" "0.0855663422402657"
"92" "ENSMUSG00000117861" "ENSMUSG00000022438" "0.261039968159939"
"93" "ENSMUSG00000117861" "ENSMUSG00000091387" "0.261039968159939"
"94" "ENSMUSG00000004562" "ENSMUSG00000022536" "0.261039968159939"
"95" "ENSMUSG00000004562" "ENSMUSG00000097440" "0.227920063680122"
"96" "ENSMUSG00000089016" "ENSMUSG00000022707" "0.261039968159939"
"97" "ENSMUSG00000089016" "ENSMUSG00000042523" "0.227920063680122"
"98" "ENSMUSG00000094483" "ENSMUSG00000022722" "0.227782199434901"
"99" "ENSMUSG00000094483" "ENSMUSG00000029153" "0.13489261886006"
"100" "ENSMUSG00000094483" "ENSMUSG00000105416" "0.0623025788516593"
"101" "ENSMUSG00000094483" "ENSMUSG00000045658" "0.0547253711234517"
"102" "ENSMUSG00000028244" "ENSMUSG00000023170" "0.225925650012324"
"103" "ENSMUSG00000028244" "ENSMUSG00000084929" "0.13604814551817"
"104" "ENSMUSG00000028244" "ENSMUSG00000038658" "0.119727236779756"
"105" "ENSMUSG00000097951" "ENSMUSG00000023572" "0.261039968159939"
"106" "ENSMUSG00000097951" "ENSMUSG00000054885" "0.261039968159939"
"107" "ENSMUSG00000058537" "ENSMUSG00000023935" "0.261039968159939"
"108" "ENSMUSG00000058537" "ENSMUSG00000058443" "0.227920063680122"
"109" "ENSMUSG00000025484" "ENSMUSG00000023979" "0.261039968159939"
"110" "ENSMUSG00000025484" "ENSMUSG00000035227" "0.261039968159939"
"111" "ENSMUSG00000108315" "ENSMUSG00000024659" "0.261039968159939"
"112" "ENSMUSG00000108315" "ENSMUSG00000079015" "0.227920063680122"
"113" "ENSMUSG00000056966" "ENSMUSG00000076385" "0.258575342536724"
"114" "ENSMUSG00000056966" "ENSMUSG00000024749" "0.258575342536724"
"115" "ENSMUSG00000000440" "ENSMUSG00000024905" "0.131672025778217"
"116" "ENSMUSG00000000440" "ENSMUSG00000026632" "0.1523826886076"
"117" "ENSMUSG00000000440" "ENSMUSG00000084133" "0.1523826886076"
"118" "ENSMUSG00000000440" "ENSMUSG00000021676" "0.0988185094081157"
"119" "ENSMUSG00000111302" "ENSMUSG00000024992" "0.261160340116844"
"120" "ENSMUSG00000111302" "ENSMUSG00000113267" "0.260710442076629"
"121" "ENSMUSG00000069227" "ENSMUSG00000025001" "0.258575342536724"
"122" "ENSMUSG00000069227" "ENSMUSG00000105774" "0.232849314926553"
"123" "ENSMUSG00000117676" "ENSMUSG00000025007" "0.261039968159939"
"124" "ENSMUSG00000117676" "ENSMUSG00000091694" "0.227920063680122"
"125" "ENSMUSG00000045238" "ENSMUSG00000025017" "0.225925650012324"
"126" "ENSMUSG00000045238" "ENSMUSG00000106120" "0.159874332309724"
"127" "ENSMUSG00000045238" "ENSMUSG00000116125" "0.137655434775836"
"128" "ENSMUSG00000083722" "ENSMUSG00000025092" "0.261039968159939"
"129" "ENSMUSG00000083722" "ENSMUSG00000113326" "0.227920063680122"
"130" "ENSMUSG00000015533" "ENSMUSG00000025269" "0.225925650012324"
"131" "ENSMUSG00000015533" "ENSMUSG00000103467" "0.159874332309724"
"132" "ENSMUSG00000015533" "ENSMUSG00000063234" "0.137655434775836"
"133" "ENSMUSG00000117797" "ENSMUSG00000025354" "0.16664746618262"
"134" "ENSMUSG00000117797" "ENSMUSG00000023192" "0.134839495132022"
"135" "ENSMUSG00000117797" "ENSMUSG00000038525" "0.22077146630411"
"136" "ENSMUSG00000048277" "ENSMUSG00000025647" "0.261039968159939"
"137" "ENSMUSG00000048277" "ENSMUSG00000031683" "0.261039968159939"
"138" "ENSMUSG00000094610" "ENSMUSG00000025782" "0.258575342536724"
"139" "ENSMUSG00000094610" "ENSMUSG00000030342" "0.232849314926553"
"140" "ENSMUSG00000025158" "ENSMUSG00000025939" "0.261039968159939"
"141" "ENSMUSG00000025158" "ENSMUSG00000091906" "0.261039968159939"
"142" "ENSMUSG00000088789" "ENSMUSG00000026280" "0.115789572213774"
"143" "ENSMUSG00000088789" "ENSMUSG00000076253" "0.097923574026063"
"144" "ENSMUSG00000088789" "ENSMUSG00000002105" "0.214700468002785"
"145" "ENSMUSG00000088789" "ENSMUSG00000108394" "0.0945899267787391"
"146" "ENSMUSG00000109909" "ENSMUSG00000026313" "0.261039968159939"
"147" "ENSMUSG00000109909" "ENSMUSG00000003868" "0.227920063680122"
"148" "ENSMUSG00000106565" "ENSMUSG00000026407" "0.261039968159939"
"149" "ENSMUSG00000106565" "ENSMUSG00000064145" "0.227920063680122"
